Codigo distrito;Nombre tipo zona;Nit cliente-sucursal;Recency;Monetary;Frequency;Distrito-Nombretipozona
101;Artes graficas;1760685385-1;20;4584;1;101-Artes graficas
101;Artes graficas;1760687580-1;23;8023;1;101-Artes graficas
101;Artes graficas;1760691229-1;24;233615;20;101-Artes graficas
101;Artes graficas;1760695499-1;24;264661;14;101-Artes graficas
101;Artes graficas;1760704457-1;23;46116;3;101-Artes graficas
101;Artes graficas;1760721631-1;24;72960;7;101-Artes graficas
101;Artes graficas;1760722489-1;24;590254;22;101-Artes graficas
101;Artes graficas;1760724225-1;8;353;1;101-Artes graficas
101;Artes graficas;1760732242-1;24;177912;24;101-Artes graficas
101;Artes graficas;1760734223-1;14;1383;2;101-Artes graficas
101;Artes graficas;1760743010-1;4;180;1;101-Artes graficas
101;Artes graficas;1760743463-1;24;1588;2;101-Artes graficas
101;Artes graficas;1760749005-1;20;30944;1;101-Artes graficas
101;Artes graficas;1760758636-1;22;10661;8;101-Artes graficas
101;Artes graficas;1760759934-1;2;1175;1;101-Artes graficas
101;Artes graficas;1760769185-1;5;900;3;101-Artes graficas
101;Artes graficas;1760771407-1;24;145391;20;101-Artes graficas
101;Artes graficas;1760772497-1;24;2988;3;101-Artes graficas
101;Artes graficas;1760774657-1;6;2267;1;101-Artes graficas
101;Artes graficas;1760785143-1;10;5388;1;101-Artes graficas
101;Artes graficas;1760802020-1;2;1383;1;101-Artes graficas
101;Artes graficas;1760803556-1;2;609;1;101-Artes graficas
